sdm,target,layer,r2_test
sdm-xlsr-fairseq,sdm-xlsr-fairseq,0,-0.008619769476354122
sdm-xlsr-fairseq,sdm-xlsr-fairseq,1,-0.18134720623493195
sdm-xlsr-fairseq,sdm-xlsr-fairseq,2,-0.20286421477794647
sdm-xlsr-fairseq,sdm-xlsr-fairseq,3,-0.25709450244903564
sdm-xlsr-fairseq,sdm-xlsr-fairseq,4,-0.3008962571620941
sdm-xlsr-fairseq,sdm-xlsr-fairseq,5,-0.3580305874347687
sdm-xlsr-fairseq,sdm-xlsr-fairseq,6,-0.30764099955558777
sdm-xlsr-fairseq,sdm-xlsr-fairseq,7,-0.23307521641254425
sdm-xlsr-fairseq,sdm-xlsr-fairseq,8,-0.1867438554763794
sdm-xlsr-fairseq,sdm-xlsr-fairseq,9,-0.16601917147636414
sdm-xlsr-fairseq,sdm-xlsr-fairseq,10,-0.11947719007730484
sdm-xlsr-fairseq,sdm-xlsr-fairseq,11,-0.08053430169820786
sdm-xlsr-fairseq,sdm-xlsr-fairseq,12,-0.10331452637910843
sdm-xlsr-fairseq,sdm-xlsr-fairseq,13,-0.06858949363231659
sdm-xlsr-fairseq,sdm-xlsr-fairseq,14,-0.099759042263031
sdm-xlsr-fairseq,sdm-xlsr-fairseq,15,-0.09769424796104431
sdm-xlsr-fairseq,sdm-xlsr-fairseq,16,-0.13263754546642303
sdm-xlsr-fairseq,sdm-xlsr-fairseq,17,-0.1504458636045456
sdm-xlsr-fairseq,sdm-xlsr-fairseq,18,-0.22179503738880157
sdm-xlsr-fairseq,sdm-xlsr-fairseq,19,-0.3027561604976654
sdm-xlsr-fairseq,sdm-xlsr-fairseq,20,-0.3503446877002716
sdm-xlsr-fairseq,sdm-xlsr-fairseq,21,-0.4227584898471832
sdm-xlsr-fairseq,sdm-xlsr-fairseq,22,-0.5407888293266296
sdm-xlsr-fairseq,sdm-xlsr-fairseq,23,-0.6807658076286316
sdm-xlsr-fairseq,sdm-xlsr-fairseq,24,0.23258765041828156
sdm-xlsr-fairseq,sdm-dvector,0,0.44374799728393555
sdm-xlsr-fairseq,sdm-dvector,1,0.41689980030059814
sdm-xlsr-fairseq,sdm-dvector,2,0.3963582515716553
sdm-xlsr-fairseq,sdm-dvector,3,0.3747963309288025
sdm-xlsr-fairseq,sdm-dvector,4,0.2870458960533142
sdm-xlsr-fairseq,sdm-dvector,5,0.15048572421073914
sdm-xlsr-fairseq,sdm-dvector,6,0.10604213923215866
sdm-xlsr-fairseq,sdm-dvector,7,0.07248926162719727
sdm-xlsr-fairseq,sdm-dvector,8,0.0007313638925552368
sdm-xlsr-fairseq,sdm-dvector,9,-0.043843917548656464
sdm-xlsr-fairseq,sdm-dvector,10,-0.051128875464200974
sdm-xlsr-fairseq,sdm-dvector,11,-0.09144854545593262
sdm-xlsr-fairseq,sdm-dvector,12,-0.14673855900764465
sdm-xlsr-fairseq,sdm-dvector,13,-0.17318376898765564
sdm-xlsr-fairseq,sdm-dvector,14,-0.16299322247505188
sdm-xlsr-fairseq,sdm-dvector,15,-0.18686574697494507
sdm-xlsr-fairseq,sdm-dvector,16,-0.2353489249944687
sdm-xlsr-fairseq,sdm-dvector,17,-0.2237195074558258
